DATE,NGDPSAXDCFRQ
1980-01-01,108704.8
1980-04-01,111516.3
1980-07-01,114578.6
1980-10-01,116893.3
1981-01-01,120604.9
1981-04-01,124680.4
1981-07-01,129488.4
1981-10-01,135073.6
1982-01-01,140606.3
1982-04-01,145382.8
1982-07-01,148174.5
1982-10-01,151491.4
1983-01-01,156104.6
1983-04-01,160485.3
1983-07-01,164954.8
1983-10-01,168561.8
1984-01-01,172368.5
1984-04-01,175413.6
1984-07-01,178785.4
1984-10-01,180465.0
1985-01-01,183946.2
1985-04-01,188183.2
1985-07-01,191362.9
1985-10-01,194761.9
1986-01-01,198596.2
1986-04-01,202354.4
1986-07-01,205943.2
1986-10-01,207920.9
1987-01-01,208479.8
1987-04-01,212316.3
1987-07-01,215558.1
1987-10-01,219966.1
1988-01-01,224479.7
1988-04-01,228036.8
1988-07-01,233607.5
1988-10-01,238249.4
1989-01-01,243037.8
1989-04-01,246732.3
1989-07-01,251319.7
1989-10-01,256758.9
1990-01-01,259841.8
1990-04-01,263278.5
1990-07-01,264643.4
1990-10-01,266299.7
1991-01-01,268407.8
1991-04-01,272032.1
1991-07-01,274669.2
1991-10-01,277502.8
1992-01-01,281712.2
1992-04-01,282388.1
1992-07-01,283375.0
1992-10-01,283364.6
1993-01-01,284385.9
1993-04-01,284799.3
1993-07-01,285345.9
1993-10-01,287040.4
1994-01-01,289480.8
1994-04-01,293373.1
1994-07-01,296401.6
1994-10-01,299988.3
1995-01-01,301626.0
1995-04-01,304451.0
1995-07-01,305918.5
1995-10-01,307355.9
1996-01-01,311142.5
1996-04-01,312368.4
1996-07-01,313999.7
1996-10-01,315188.0
1997-01-01,317116.1
1997-04-01,321305.3
1997-07-01,325033.5
1997-10-01,329759.5
1998-01-01,334117.0
1998-04-01,337382.8
1998-07-01,339308.4
1998-10-01,341711.1
1999-01-01,344377.4
1999-04-01,346817.0
1999-07-01,351864.5
1999-10-01,356848.0
2000-01-01,362454.0
2000-04-01,367962.6
2000-07-01,373181.8
2000-10-01,376856.0
2001-01-01,380534.6
2001-04-01,383158.0
2001-07-01,387358.7
2001-10-01,388213.1
2002-01-01,392830.6
2002-04-01,395671.4
2002-07-01,399505.6
2002-10-01,401674.6
2003-01-01,402978.5
2003-04-01,404760.6
2003-07-01,410920.4
2003-10-01,414227.3
2004-01-01,419863.6
2004-04-01,423130.6
2004-07-01,426521.5
2004-10-01,431698.5
2005-01-01,434786.8
2005-04-01,438543.1
2005-07-01,442729.8
2005-10-01,448266.5
2006-01-01,453821.3
2006-04-01,460627.6
2006-07-01,464697.0
2006-10-01,471083.2
2007-01-01,476993.7
2007-04-01,483252.4
2007-07-01,489260.2
2007-10-01,493294.3
2008-01-01,499764.1
2008-04-01,499774.3
2008-07-01,499012.1
2008-10-01,493054.9
2009-01-01,483764.4
2009-04-01,482827.0
2009-07-01,482559.3
2009-10-01,488200.5
2010-01-01,491207.3
2010-04-01,496463.6
2010-07-01,501456.4
2010-10-01,504386.3
2011-01-01,511151.5
2011-04-01,512272.4
2011-07-01,515446.6
2011-10-01,518397.8
2012-01-01,519340.6
2012-04-01,521474.3
2012-07-01,524000.3
2012-10-01,523729.0
2013-01-01,525576.3
2013-04-01,530192.2
2013-07-01,529875.8
2013-10-01,533872.4
2014-01-01,535286.8
2014-04-01,536011.3
2014-07-01,539522.3
2014-10-01,541443.5
2015-01-01,546481.2
2015-04-01,548295.7
2015-07-01,551325.4
2015-10-01,553506.5
2016-01-01,558072.0
2016-04-01,555312.4
2016-07-01,557946.7
2016-10-01,561634.3
2017-01-01,566547.0
2017-04-01,572471.5
2017-07-01,578198.5
2017-10-01,582432.1
2018-01-01,584734.5
2018-04-01,588405.9
2018-07-01,593347.2
2018-10-01,598354.4
2019-01-01,604801.5
2019-04-01,610295.4
2019-07-01,613011.7
2019-10-01,612115.1
2020-01-01,586753.1
2020-04-01,528510.6
2020-07-01,599030.8
2020-10-01,602592.0
2021-01-01,608557.8
2021-04-01,616544.8
2021-07-01,634865.6
2021-10-01,639575.0
2022-01-01,644568.9
2022-04-01,653634.7
2022-07-01,666474.3
2022-10-01,673628.2
2023-01-01,685870.9
2023-04-01,701144.9
2023-07-01,705014.7
