Date,S&P Compound,Dividends,Earnings,CPI,Date Fraction,Long_interest_rate,Real price,Real Dividend,Real_total_return_price,Real earnings,Real scaled earnings,CAPE,,TR CAPE,,Excess CAPE yield,Montlhy total bond returns,Real total bond returns,10 year annualized stock real return,10 year annualized bond real return,real 10 year excess annualized returns
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,107.25,6.20, 107.77 ,9.53, 9.58 ,,,,,,1.00,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,108.27,6.11, 109.30 ,9.39, 9.48 ,,,,,,1.00,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,115.54,6.34, 117.17 ,9.75, 9.89 ,,,,,,1.00,1.00,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,121.22,6.48, 123.48 ,9.98, 10.16 ,,,,,,1.00,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,122.11,6.59, 124.95 ,10.13, 10.37 ,,,,,,1.00,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,119.83,6.59, 123.18 ,10.13, 10.42 ,,,,,,1.00,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,123.29,6.69, 127.31 ,10.30, 10.63 ,,,,,,1.00,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,121.66,6.54, 126.19 ,10.05, 10.43 ,,,,,,1.00,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,113.60,6.43, 118.39 ,9.90, 10.32 ,,,,,,1.00,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,114.84,6.43, 120.23 ,9.90, 10.36 ,,,,,,1.00,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,114.67,6.29, 120.60 ,9.68, 10.18 ,,,,,,1.00,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,117.57,6.37, 124.21 ,9.74, 10.29 ,,,,,,1.00,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,118.05,6.45, 125.29 ,9.80, 10.40 ,,,,,,1.00,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,120.12,6.43, 128.05 ,9.71, 10.35 ,,,,,,1.00,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,120.77,6.37, 129.31 ,9.56, 10.24 ,,,,,,1.00,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,120.77,6.45, 129.89 ,9.62, 10.34 ,,,,,,1.00,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,120.48,6.58, 130.17 ,9.75, 10.53 ,,,,,,1.00,1.02,9.65%,8.41%,1.24%
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,121.55,6.75, 131.93 ,9.95, 10.80 ,,,,,,1.00,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,119.24,6.78, 130.03 ,9.94, 10.84 ,,,,,,1.00,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,116.25,6.81, 127.40 ,9.92, 10.87 ,,,,,,1.00,1.03,11.37%,8.70%,2.67%
